name,key,cost
롯데밀키스500ML,1000,1700
꼬깔콘고소한맛72G,1001,1500
동원참치라이트스탠다드200G,1002,4000
CJ스팸200G,1003,3880
오리온)포카칩오리지널66G,1004,1500
참이슬후레쉬(병)360ML,1005,1300
웅진하늘보리500ML,1006,1500
하이트엑스트라콜드500ML,1007,2700
코카콜라1.25L,1008,3800
해태에이스121G,1009,1500
오리온)초코파이(12입)468G,1010,4800
서울우유,1011,950
몬스터에너지울트라355ML,1012,2200
오리온다이제초코225G,1013,2500
빙그레요플레오리지널딸기,1014,1950
팔도왕뚜껑110G,1015,1000
남양유업)초코에몽180ML,1016,1300
농심웰치스포도355ml,1017,1200
코카파워에이드MB600ML,1018,2000
오리온꼬북칩80G,1019,1500
롯데)초코빼빼로54G,1020,1500
크라운화이트하임284G,1021,4780
오리온카스타드,1022,3400
박카스F120ML,1023,900
오뚜기열라면120G,1024,1300
매일아몬드브리즈오리지널,1025,3500
테라(PET)1.6L,1026,2000
오뚜기육개장용기면86G,1027,3400
동서식품미떼핫초코오리지날캔430G,1028,2200
농심양파링84G,1029,3500
OB맥주카스프레쉬(병)500ml,1030,3500
(주)길림양행허니버터아몬드,1031,4700
Raccoon,0,
